id,constituency_no,constituency_name,district_name,candidate_name,party_code,party_name,votes_received,total_votes,vote_percentage,margin,status,state_code,state_name
209,75,Domkal,Murshidabad,Jafikul Islam,TMC,All India Trinamool Congress,223764,223764,88.6,47229,Won,19,West Bengal
210,284,Dubrajpur,Birbhum,Anup Kumar Saha,BJP,Bharatiya Janta Party,201442,201442,87.1,3863,Won,19,West Bengal
211,114,Dum Dum,North Twenty Four Parganas,Brtya Basu,TMC,All India Trinamool Congress,183295,183295,78.8,26731,Won,19,West Bengal
212,110,Dum Dum Uttar,North Twenty Four Parganas,Chandrima Bhattacharya,TMC,All India Trinamool Congress,211038,211038,82.3,28499,Won,19,West Bengal
213,277,Durgapur Paschim,Barddhaman,Lakshman Chandra Ghorui,BJP,Bharatiya Janta Party,194278,194278,75.7,14664,Won,19,West Bengal
214,276,Durgapur Purba,Barddhaman,Pradip Mazumdar,TMC,All India Trinamool Congress,190046,190046,77.7,3746,Won,19,West Bengal
215,218,Egra,Purba Medinipur,Tarun Kumar Maity,TMC,All India Trinamool Congress,239424,239424,87,18491,Won,19,West Bengal
216,51,Englishbazar,Maldah,Sreerupa Mitra Chaudhury(NIRBHOY DIDI),BJP,Bharatiya Janta Party,212479,212479,81.4,20099,Won,19,West Bengal
217,163,Entally,Kolkata,Swarna Kamal Saha,TMC,All India Trinamool Congress,155883,155883,72.4,58257,Won,19,West Bengal
218,13,Falakata,Jalpaiguri,Dipak Barman,BJP,Bharatiya Janta Party,218530,218530,89.4,3990,Won,19,West Bengal
219,144,Falta,South  Twenty Four Parganas,Sankar Kumar Naskar,TMC,All India Trinamool Congress,206747,206747,91.5,40774,Won,19,West Bengal
220,55,Farakka,Murshidabad,Manirul Islam,TMC,All India Trinamool Congress,184786,184786,86.9,59945,Won,19,West Bengal
221,97,Gaighata,North Twenty Four Parganas,Subrata Thakur,BJP,Bharatiya Janta Party,211834,211834,87.9,9578,Won,19,West Bengal
222,274,Galsi,Barddhaman,Nepal Ghorui,TMC,All India Trinamool Congress,220284,220284,88.2,19262,Won,19,West Bengal
223,41,Gangarampur,Dakshin Dinajpur,Satyendra Nath  Ray,BJP,Bharatiya Janta Party,188333,188333,88.6,4592,Won,19,West Bengal
224,233,Garbeta,Paschim Medinipur,Uttara Singha (Hazra),TMC,All India Trinamool Congress,204962,204962,92,10572,Won,19,West Bengal
225,44,Gazole,Maldah,Chinmoy Deb Barman,BJP,Bharatiya Janta Party,219478,219478,86.4,1798,Won,19,West Bengal
226,231,Ghatal,Paschim Medinipur,Sital Kapat,BJP,Bharatiya Janta Party,224070,224070,82.9,966,Won,19,West Bengal
227,30,Goalpokhar,Uttar Dinajpur,Md. Ghulam Rabbani,TMC,All India Trinamool Congress,159519,159519,74,73514,Won,19,West Bengal
228,201,Goghat,Hugli,Biswanath Karak,BJP,Bharatiya Janta Party,217063,217063,90.8,4147,Won,19,West Bengal
229,221,Gopiballavpur,Paschim Medinipur,Dr. Khagendra Nath Mahata,TMC,All India Trinamool Congress,196279,196279,89.4,23768,Won,19,West Bengal
230,127,Gosaba,South  Twenty Four Parganas,Jayanta Naskar,TMC,All India Trinamool Congress,194791,194791,88.1,23709,Won,19,West Bengal
231,43,Habibpur,Maldah,Joyel Murmu,BJP,Bharatiya Janta Party,195827,195827,81.5,19517,Won,19,West Bengal
232,100,Habra,North Twenty Four Parganas,Jyoti Priya Mallick,TMC,All India Trinamool Congress,202881,202881,86.5,3841,Won,19,West Bengal
233,209,Haldia,Purba Medinipur,Tapasi Mondal,BJP,Bharatiya Janta Party,219410,219410,91.7,15008,Won,19,West Bengal
234,292,Hansan,Birbhum,Dr. Asok Kumar Chattopadhyay,TMC,All India Trinamool Congress,208186,208186,88.1,50613,Won,19,West Bengal
235,121,Haroa,North Twenty Four Parganas,Islam Sk Nurul (HAJI),TMC,All India Trinamool Congress,224465,224465,91,80978,Won,19,West Bengal
236,73,Hariharpara,Murshidabad,Niamot Sheikh,TMC,All India Trinamool Congress,214958,214958,91.7,14066,Won,19,West Bengal
237,93,Haringhata,Nadia,Asim Kumar Sarkar,BJP,Bharatiya Janta Party,209447,209447,90.4,15200,Won,19,West Bengal
238,196,Haripal,Hugli,Dr. Karabi Manna,TMC,All India Trinamool Congress,217407,217407,83.6,23072,Won,19,West Bengal
239,42,Harirampur,Dakshin Dinajpur,Biplab Mitra,TMC,All India Trinamool Congress,185819,185819,86.1,22672,Won,19,West Bengal
240,46,Harischandrapur,Maldah,Tajmul Hossain,TMC,All India Trinamool Congress,202141,202141,84.7,77473,Won,19,West Bengal
241,33,Hemtabad,Uttar Dinajpur,Satyajit Barman,TMC,All India Trinamool Congress,221141,221141,87.5,27215,Won,19,West Bengal
242,126,Hingalganj,North Twenty Four Parganas,Debes Mandal,TMC,All India Trinamool Congress,192945,192945,87.4,24916,Won,19,West Bengal
243,173,Howrah Dakshin,Haora,Nandita Chowdhury,TMC,All India Trinamool Congress,213992,213992,76.8,50569,Won,19,West Bengal
244,171,Howrah Madhya,Haora,Arup Roy S/o Late Prabhat Roy,TMC,All India Trinamool Congress,192409,192409,76.6,46547,Won,19,West Bengal
245,170,Howrah Uttar,Haora,Gautam Chowdhuri,TMC,All India Trinamool Congress,148050,148050,72,5522,Won,19,West Bengal
246,257,Indus,Bankura,Nirmal Kumar Dhara,BJP,Bharatiya Janta Party,215271,215271,91.6,7220,Won,19,West Bengal
247,29,Islampur,Uttar Dinajpur,Abdul Karim Chowdhary,TMC,All India Trinamool Congress,167998,167998,82.3,37440,Won,19,West Bengal
248,36,Itahar,Uttar Dinajpur,Mosaraf Hussen,TMC,All India Trinamool Congress,192746,192746,88.2,43975,Won,19,West Bengal
249,150,Jadavpur,South  Twenty Four Parganas,Debabrata Majumdar (MALAY),TMC,All India Trinamool Congress,212689,212689,74.5,38869,Won,19,West Bengal
250,183,Jagatballavpur,Haora,Sitanath Ghosh,TMC,All India Trinamool Congress,232952,232952,85.5,29196,Won,19,West Bengal
251,106,Jagatdal,North Twenty Four Parganas,Somenath Shyam Ichini,TMC,All India Trinamool Congress,178719,178719,80.5,18364,Won,19,West Bengal
252,76,Jalangi,Murshidabad,Abdur Razzak,TMC,All India Trinamool Congress,219616,219616,88.3,79276,Won,19,West Bengal
253,17,Jalpaiguri,Jalpaiguri,Dr. Pradip Kumar Barma,TMC,All India Trinamool Congress,222552,222552,87.1,941,Won,19,West Bengal
254,262,Jamalpur,Barddhaman,Alok Kumar Majhi,TMC,All India Trinamool Congress,203825,203825,88.9,17971,Won,19,West Bengal
255,279,Jamuria,Barddhaman,Hareram Singh,TMC,All India Trinamool Congress,164350,164350,78.7,8051,Won,19,West Bengal
256,195,Jangipara,Hugli,Snehasis Chakraborty,TMC,All India Trinamool Congress,207371,207371,84,17926,Won,19,West Bengal
257,136,Jaynagar,South  Twenty Four Parganas,Biswanath Das,TMC,All India Trinamool Congress,201267,201267,88.2,38683,Won,19,West Bengal
258,222,Jhargram,Paschim Medinipur,Birbaha Hansda,TMC,All India Trinamool Congress,198161,198161,87.7,38240,Won,19,West Bengal
259,165,Jorasanko,Kolkata,Vivek Gupta,TMC,All India Trinamool Congress,97927,97927,51,12743,Won,19,West Bengal
260,241,Joypur,Puruliya,Nara Hari Mahato,BJP,Bharatiya Janta Party,199811,199811,84.4,12200,Won,19,West Bengal
261,131,Kakdwip,South  Twenty Four Parganas,Manturam Pakhira,TMC,All India Trinamool Congress,218574,218574,93.2,25302,Won,19,West Bengal
262,11,Kalchini,Jalpaiguri,Bishal Lama,BJP,Bharatiya Janta Party,193438,193438,82.1,28576,Won,19,West Bengal
263,34,Kaliaganj,Uttar Dinajpur,Soumen Roy,BJP,Bharatiya Janta Party,236719,236719,87.7,21820,Won,19,West Bengal
264,80,Kaliganj,Nadia,Nasiruddin Ahamed (LAL),TMC,All India Trinamool Congress,207328,207328,88.4,46987,Won,19,West Bengal
265,22,Kalimpong,Darjiling,Ruden Sada Lepcha,OTH,Independent,152703,152703,74.3,3870,Won,19,West Bengal
266,264,Kalna,Barddhaman,Deboprasad Bag (POLTU),TMC,All India Trinamool Congress,206444,206444,87.9,7478,Won,19,West Bengal
267,92,Kalyani,Nadia,Ambika Roy,BJP,Bharatiya Janta Party,217761,217761,88.8,2206,Won,19,West Bengal
268,112,Kamarhati,North Twenty Four Parganas,Madan Mitra,TMC,All India Trinamool Congress,142757,142757,75.5,35408,Won,19,West Bengal
269,68,Kandi,Murshidabad,Apurba Sarkar (DAVID),TMC,All India Trinamool Congress,183350,183350,81.3,38080,Won,19,West Bengal
270,216,Kanthi Dakshin,Purba Medinipur,Arup Kumar Das,BJP,Bharatiya Janta Party,193811,193811,89.3,10293,Won,19,West Bengal
271,213,Kanthi Uttar,Purba Medinipur,Sumita Sinha,BJP,Bharatiya Janta Party,226924,226924,91.2,9330,Won,19,West Bengal
272,32,Karandighi,Uttar Dinajpur,Goutam Paul,TMC,All India Trinamool Congress,210687,210687,85.4,36626,Won,19,West Bengal
273,77,Karimpur,Nadia,Bimalendu Sinha Roy,TMC,All India Trinamool Congress,220178,220178,91.2,23575,Won,19,West Bengal
274,149,Kasba,South  Twenty Four Parganas,Ahmed Javed Khan,TMC,All India Trinamool Congress,220678,220678,78.5,63622,Won,19,West Bengal
275,244,Kashipur,Puruliya,Kamalakanta Hansda,BJP,Bharatiya Janta Party,192491,192491,84.5,7387,Won,19,West Bengal
276,168,Kashipur-Belgachhia,Kolkata,Atin Ghosh,TMC,All India Trinamool Congress,133295,133295,61.2,35390,Won,19,West Bengal
277,256,Katulpur,Bankura,Harakali Protiher,BJP,Bharatiya Janta Party,222267,222267,93.8,11785,Won,19,West Bengal
278,270,Katwa,Barddhaman,Rabindranath Chatterjee,TMC,All India Trinamool Congress,222679,222679,86.6,9155,Won,19,West Bengal
279,223,Keshiary,Paschim Medinipur,Paresh Murmu,TMC,All India Trinamool Congress,210111,210111,90.9,15330,Won,19,West Bengal
280,235,Keshpur,Paschim Medinipur,Seuli Saha,TMC,All India Trinamool Congress,226934,226934,90.6,20720,Won,19,West Bengal
281,271,Ketugram,Barddhaman,Sekh Sahonawez,TMC,All India Trinamool Congress,211697,211697,85.3,12683,Won,19,West Bengal
282,202,Khanakul,Hugli,Susanta Ghosh,BJP,Bharatiya Janta Party,214713,214713,80.7,12884,Won,19,West Bengal
283,259,Khandaghosh,Barddhaman,Nabin Chandra Bag,TMC,All India Trinamool Congress,215953,215953,91.9,20886,Won,19,West Bengal
284,228,Kharagpur,Paschim Medinipur,Dinen Roy,TMC,All India Trinamool Congress,197730,197730,91.6,36230,Won,19,West Bengal
285,224,Kharagpur Sadar,Paschim Medinipur,Hiranmoy Chattopadhyaya,BJP,Bharatiya Janta Party,168742,168742,74.8,3771,Won,19,West Bengal
286,109,Khardaha,North Twenty Four Parganas,Kajal Sinha,TMC,All India Trinamool Congress,180732,180732,83.1,28140,Won,19,West Bengal
287,66,Khargram,Murshidabad,Ashis Marjit,TMC,All India Trinamool Congress,184251,184251,84.2,32573,Won,19,West Bengal
288,215,Khejuri,Purba Medinipur,Santanu Pramanik,BJP,Bharatiya Janta Party,211485,211485,92.7,17965,Won,19,West Bengal
289,158,Kolkata Port,Kolkata,Firhad Hakim,TMC,All India Trinamool Congress,151083,151083,67.7,68554,Won,19,West Bengal
290,83,Krishnanagar Uttar,Nadia,Mukul Roy,BJP,Bharatiya Janta Party,199954,199954,86.9,35089,Won,19,West Bengal
291,88,Krishnaganj,Nadia,Ashis Kumar Biswas,BJP,Bharatiya Janta Party,229839,229839,87,21277,Won,19,West Bengal
292,85,Krishnanagar Dakshin,Nadia,Ujjal Biswas,TMC,All India Trinamool Congress,193520,193520,89.1,9305,Won,19,West Bengal
293,133,Kulpi,South  Twenty Four Parganas,Jogaranjan Halder,TMC,All India Trinamool Congress,191445,191445,91.9,33818,Won,19,West Bengal
294,129,Kultali,South  Twenty Four Parganas,Ganesh Chandra Mondal,TMC,All India Trinamool Congress,226303,226303,91.1,47177,Won,19,West Bengal
295,282,Kulti,Barddhaman,Ajay  Kumar Poddar,BJP,Bharatiya Janta Party,171214,171214,71.8,679,Won,19,West Bengal
296,38,Kumarganj,Dakshin Dinajpur,Toraf Hossain Mandal,TMC,All India Trinamool Congress,169803,169803,87.4,29367,Won,19,West Bengal
297,10,Kumargram,Jalpaiguri,Manoj Kumar Oraon,BJP,Bharatiya Janta Party,229771,229771,87.5,11001,Won,19,West Bengal
298,24,Kurseong,Darjiling,Bishnu Prasad Sharma (alias B.P. Bajgain),BJP,Bharatiya Janta Party,173128,173128,75.3,15515,Won,19,West Bengal
299,37,Kushmandi,Dakshin Dinajpur,Rekha Roy,TMC,All India Trinamool Congress,182477,182477,87.1,12584,Won,19,West Bengal
300,288,Labhpur,Birbhum,Abhijit Sinha (RANA),TMC,All India Trinamool Congress,208970,208970,90.8,17975,Won,19,West Bengal
301,61,Lalgola,Murshidabad,Ali Mohammad,TMC,All India Trinamool Congress,189044,189044,86.1,60707,Won,19,West Bengal
302,14,Madarihat,Jalpaiguri,Manoj Tigga,BJP,Bharatiya Janta Party,164298,164298,80.8,29685,Won,19,West Bengal
303,118,Madhyamgram,North Twenty Four Parganas,Rathin Ghosh,TMC,All India Trinamool Congress,227279,227279,88,48126,Won,19,West Bengal
304,142,Magrahat Paschim,South  Twenty Four Parganas,Gias Uddin Molla,TMC,All India Trinamool Congress,191996,191996,89.5,46941,Won,19,West Bengal
305,141,Magrahat Purba,South  Twenty Four Parganas,Namita Saha,TMC,All India Trinamool Congress,204673,204673,89.5,54079,Won,19,West Bengal
306,155,Maheshtala,South  Twenty Four Parganas,Dulal Chandra Das,TMC,All India Trinamool Congress,217920,217920,86.2,57949,Won,19,West Bengal
307,208,Mahishadal,Purba Medinipur,Tilak Kumar Chakraborty,TMC,All India Trinamool Congress,217590,217590,92.4,2386,Won,19,West Bengal
308,20,Mal,Jalpaiguri,Bulu Chik Baraik,TMC,All India Trinamool Congress,208556,208556,86.1,5465,Won,19,West Bengal
309,47,Malatipur,Maldah,Abdur Rahim Boxi,TMC,All India Trinamool Congress,183450,183450,84.2,91949,Won,19,West Bengal
310,50,Maldaha,Maldah,Gopal Chandra Saha,BJP,Bharatiya Janta Party,203671,203671,87.4,15456,Won,19,West Bengal
311,243,Manbazar,Puruliya,Sandhyarani Tudu,TMC,All India Trinamool Congress,211438,211438,86.5,15516,Won,19,West Bengal
312,135,Mandirbazar,South  Twenty Four Parganas,Joydeb Halder,TMC,All India Trinamool Congress,197668,197668,90.2,23492,Won,19,West Bengal
313,272,Mongalkote,Barddhaman,Apurba Chowdhury (Achal),TMC,All India Trinamool Congress,213503,213503,88.3,22337,Won,19,West Bengal
314,49,Manikchak,Maldah,Sabitri Mitra,TMC,All India Trinamool Congress,205624,205624,85.5,33878,Won,19,West Bengal
315,167,Maniktola,Kolkata,Sadhan Pande,TMC,All India Trinamool Congress,131547,131547,65.2,20238,Won,19,West Bengal
316,2,Mathabhanga,Koch Bihar,Sushil Barman,BJP,Bharatiya Janta Party,212760,212760,88,26134,Won,19,West Bengal
317,157,Metiaburuz,South  Twenty Four Parganas,Abdul Khaleque Molla,TMC,All India Trinamool Congress,193574,193574,82.8,119604,Won,19,West Bengal
318,25,Matigara-Naxalbari,Darjiling,Anandamay Barman,BJP,Bharatiya Janta Party,236679,236679,88.5,70848,Won,19,West Bengal
319,16,Maynaguri,Jalpaiguri,Kaushik Roy,BJP,Bharatiya Janta Party,232998,232998,92.7,11911,Won,19,West Bengal
320,290,Mayureswar,Birbhum,Abhijit Roy,TMC,All India Trinamool Congress,196622,196622,88,12075,Won,19,West Bengal
321,236,Medinipur,Paschim Medinipur,June Maliah,TMC,All India Trinamool Congress,234970,234970,88.1,24397,Won,19,West Bengal
322,1,Mekliganj,Koch Bihar,Adhikary Paresh Chandra,TMC,All India Trinamool Congress,196297,196297,90.5,14685,Won,19,West Bengal
323,265,Memari,Barddhaman,Madhusudan Bhattacharya,TMC,All India Trinamool Congress,217129,217129,88.4,23078,Won,19,West Bengal
324,122,Minakhan,North Twenty Four Parganas,Usha Rani Mondal,TMC,All India Trinamool Congress,208412,208412,92.3,55830,Won,19,West Bengal
325,263,Monteswar,Barddhaman,Chowdhury Siddiqullah,TMC,All India Trinamool Congress,207425,207425,88.8,31805,Won,19,West Bengal
326,52,Mothabari,Maldah,Yeasmin Sabina,TMC,All India Trinamool Congress,161004,161004,87.6,56573,Won,19,West Bengal
327,206,Moyna,Purba Medinipur,Ashoke Dinda,BJP,Bharatiya Janta Party,223099,223099,91,1260,Won,19,West Bengal
328,294,Murarai,Birbhum,Dr Mosarraf Hossain,TMC,All India Trinamool Congress,216408,216408,86.1,98246,Won,19,West Bengal
329,64,Murshidabad,Murshidabad,Gouri Sankar Ghosh,BJP,Bharatiya Janta Party,226327,226327,88.4,2491,Won,19,West Bengal
330,84,Nabadwip,Nadia,Pundarikakshya Saha,TMC,All India Trinamool Congress,208245,208245,87.7,18571,Won,19,West Bengal
331,65,Nabagram,Murshidabad,Kanai Chandra Mondal,TMC,All India Trinamool Congress,205887,205887,85.9,35533,Won,19,West Bengal
332,21,Nagrakata,Jalpaiguri,Puna Bhengra,BJP,Bharatiya Janta Party,185715,185715,82.1,23475,Won,19,West Bengal
333,104,Naihati,North Twenty Four Parganas,Partha Bhowmick,TMC,All India Trinamool Congress,154767,154767,82.1,18855,Won,19,West Bengal
334,81,Nakashipara,Nadia,Kallol Khan,TMC,All India Trinamool Congress,208424,208424,88.6,21271,Won,19,West Bengal
335,293,Nalhati,Birbhum,Rajendra Prasad Singh (RAJU SINGH),TMC,All India Trinamool Congress,205796,205796,88.6,56905,Won,19,West Bengal
336,207,Nandakumar,Purba Medinipur,Sukumar De,TMC,All India Trinamool Congress,225802,225802,92.3,5406,Won,19,West Bengal
337,210,Nandigram,Purba Medinipur,Adhikari Suvendu,BJP,Bharatiya Janta Party,227315,227315,91.9,1956,Won,19,West Bengal
338,287,Nanoor,Birbhum,Bidhan Chandra Majhi,TMC,All India Trinamool Congress,233179,233179,87.7,6670,Won,19,West Bengal
339,74,Naoda,Murshidabad,Sahina Momtaz Khan,TMC,All India Trinamool Congress,201041,201041,85.7,74153,Won,19,West Bengal
340,225,Narayangarh,Paschim Medinipur,Atta Surja Kanta,TMC,All India Trinamool Congress,215994,215994,92,2416,Won,19,West Bengal
341,8,Natabari,Koch Bihar,Mihir Goswami,BJP,Bharatiya Janta Party,216027,216027,91.8,23440,Won,19,West Bengal
342,220,Nayagram,Paschim Medinipur,Dulal Murmu,TMC,All India Trinamool Congress,189268,189268,86.6,22754,Won,19,West Bengal
343,107,Noapara,North Twenty Four Parganas,Manju Basu,TMC,All India Trinamool Congress,189748,189748,75.2,26710,Won,19,West Bengal
344,254,Onda,Bankura,Amarnath  Shakha,BJP,Bharatiya Janta Party,220880,220880,90.5,11551,Won,19,West Bengal
345,79,Palashipara,Nadia,Dr. Manik Bhattacharya,TMC,All India Trinamool Congress,201731,201731,86.8,51336,Won,19,West Bengal
346,175,Panchla,Haora,Gulsan Mullick,TMC,All India Trinamool Congress,214598,214598,85.6,32751,Won,19,West Bengal
347,275,Pandabeswar,Barddhaman,Narendranath Chakraborty,TMC,All India Trinamool Congress,161556,161556,80.9,3803,Won,19,West Bengal
348,192,Pandua,Hugli,Dr. Ratna De Nag,TMC,All India Trinamool Congress,221500,221500,85.2,31858,Won,19,West Bengal
349,111,Panihati,North Twenty Four Parganas,Nirmal Ghosh,TMC,All India Trinamool Congress,172022,172022,77.4,25177,Won,19,West Bengal
350,205,Panskura Paschim,Purba Medinipur,Phiroja Bibi,TMC,All India Trinamool Congress,232804,232804,88.7,8889,Won,19,West Bengal
351,204,Panskura Purba,Purba Medinipur,Biplab Roy Chowdhury,TMC,All India Trinamool Congress,197217,197217,86.7,9660,Won,19,West Bengal
352,245,Para,Puruliya,Nadiar Chand Bouri,BJP,Bharatiya Janta Party,190364,190364,82.2,4007,Won,19,West Bengal
353,212,Patashpur,Purba Medinipur,Uttam Barik,TMC,All India Trinamool Congress,207966,207966,91.2,9994,Won,19,West Bengal
354,130,Patharpratima,South  Twenty Four Parganas,Samir Kumar Jana,TMC,All India Trinamool Congress,230572,230572,91.3,22134,Won,19,West Bengal
355,27,Phansidewa,Darjiling,Durga Murmu,BJP,Bharatiya Janta Party,205015,205015,91.4,27711,Won,19,West Bengal
356,227,Pingla,Paschim Medinipur,Ajit Maity,TMC,All India Trinamool Congress,226596,226596,92.4,6656,Won,19,West Bengal
357,268,Purbasthali Dakshin,Barddhaman,Swapan Debnath,TMC,All India Trinamool Congress,213791,213791,88.9,17410,Won,19,West Bengal
358,269,Purbasthali Uttar,Barddhaman,Tapan Chatterjee,TMC,All India Trinamool Congress,210993,210993,87.1,6706,Won,19,West Bengal
359,199,Pursurah,Hugli,Biman Ghosh,BJP,Bharatiya Janta Party,220286,220286,87.4,28178,Won,19,West Bengal
360,242,Purulia,Puruliya,Sudip Kumar Mukherjee,BJP,Bharatiya Janta Party,204280,204280,83.8,7018,Won,19,West Bengal
361,59,Raghunathganj,Murshidabad,Akhruzzaman,TMC,All India Trinamool Congress,187540,187540,81,98313,Won,19,West Bengal
362,246,Raghunathpur,Puruliya,Vivekananda Bauri,BJP,Bharatiya Janta Party,211133,211133,85.1,5438,Won,19,West Bengal
363,134,Raidighi,South  Twenty Four Parganas,Aloke Jaldata,TMC,All India Trinamool Congress,237258,237258,90.7,35568,Won,19,West Bengal
364,35,Raiganj,Uttar Dinajpur,Krishna Kalyani,BJP,Bharatiya Janta Party,158879,158879,83.2,20748,Won,19,West Bengal
365,261,Raina,Barddhaman,Shampa Dhara,TMC,All India Trinamool Congress,227603,227603,91.7,18205,Won,19,West Bengal
366,250,Raipur,Bankura,Mrityunjoy Murmu,TMC,All India Trinamool Congress,191490,191490,88.6,19398,Won,19,West Bengal
367,117,Rajarhat  Gopalpur,North Twenty Four Parganas,Aditi Munshi,TMC,All India Trinamool Congress,176465,176465,73.6,25296,Won,19,West Bengal
368,115,Rajarhat New Town,North Twenty Four Parganas,Tapash Chatterjee,TMC,All India Trinamool Congress,232874,232874,89.9,56432,Won,19,West Bengal
369,18,Rajganj,Jalpaiguri,Khageswar Roy,TMC,All India Trinamool Congress,212580,212580,90.9,15773,Won,19,West Bengal
370,217,Ramnagar,Purba Medinipur,Akhil Giri,TMC,All India Trinamool Congress,220827,220827,86.6,12517,Won,19,West Bengal
371,291,Rampurhat,Birbhum,Asish Banerjee,TMC,All India Trinamool Congress,213942,213942,86,8472,Won,19,West Bengal
372,90,Ranaghat Dakshin,Nadia,Mukut Mani Adhikari,BJP,Bharatiya Janta Party,240110,240110,87.4,16515,Won,19,West Bengal
373,87,Ranaghat Uttar Paschim,Nadia,Parthasarathi Chatterjee,BJP,Bharatiya Janta Party,220935,220935,86.7,23128,Won,19,West Bengal
374,89,Ranaghat Uttar Purba,Nadia,Ashim Biswas,BJP,Bharatiya Janta Party,212377,212377,83.6,31782,Won,19,West Bengal
375,249,Ranibandh,Bankura,Jyotsna Mandi,TMC,All India Trinamool Congress,206944,206944,84.5,3939,Won,19,West Bengal
376,278,Raniganj,Barddhaman,Tapas Banerjee,TMC,All India Trinamool Congress,180205,180205,75.4,3556,Won,19,West Bengal
377,63,Raninagar,Murshidabad,Abdul Soumik Hossain,TMC,All India Trinamool Congress,219242,219242,90,79702,Won,19,West Bengal
378,160,Rashbehari,Kolkata,Debasish Kumar,TMC,All India Trinamool Congress,122793,122793,61.7,21414,Won,19,West Bengal
379,48,Ratua,Maldah,Samar Mukherjee,TMC,All India Trinamool Congress,217097,217097,82.3,75650,Won,19,West Bengal
380,70,Rejinagar,Murshidabad,Rabiul Alam Chowdhury,TMC,All India Trinamool Congress,208885,208885,85,68268,Won,19,West Bengal
381,226,Sabang,Paschim Medinipur,Manas Ranjan Bhunia,TMC,All India Trinamool Congress,234667,234667,91.8,9864,Won,19,West Bengal
382,132,Sagar,South  Twenty Four Parganas,Bankim Chandra Hazra,TMC,All India Trinamool Congress,238042,238042,91.1,29846,Won,19,West Bengal
383,60,Sagardighi,Murshidabad,Subrata Saha,TMC,All India Trinamool Congress,185111,185111,82.6,50206,Won,19,West Bengal
384,289,Sainthia,Birbhum,Nilabati Saha,TMC,All India Trinamool Congress,220124,220124,89.3,15243,Won,19,West Bengal
385,234,Salboni,Paschim Medinipur,Srikanta Mahata,TMC,All India Trinamool Congress,247230,247230,93.2,32644,Won,19,West Bengal
386,247,Saltora,Bankura,Bauri Chandana,BJP,Bharatiya Janta Party,199050,199050,88.7,4145,Won,19,West Bengal
387,123,Sandeshkhali,North Twenty Four Parganas,Sukumar Mahata,TMC,All India Trinamool Congress,203331,203331,88.6,39685,Won,19,West Bengal
388,174,Sankrail,Haora,Priya Paul,TMC,All India Trinamool Congress,220277,220277,84.7,40427,Won,19,West Bengal
389,86,Santipur,Nadia,Jagannath Sarkar,BJP,Bharatiya Janta Party,217307,217307,89.8,15878,Won,19,West Bengal
390,193,Saptagram,Hugli,Tapan Dasgupta,TMC,All India Trinamool Congress,189153,189153,83.9,9772,Won,19,West Bengal
391,145,Satgachhia,South  Twenty Four Parganas,Mohan Chandra Naskar,TMC,All India Trinamool Congress,234169,234169,90.5,23318,Won,19,West Bengal
392,172,Shibpur,Haora,Manoj Tiwary,TMC,All India Trinamool Congress,180307,180307,81.3,32603,Won,19,West Bengal
393,166,Shyampukur,Kolkata,Dr. Shashi Panja,TMC,All India Trinamool Congress,101907,101907,59.2,22520,Won,19,West Bengal
394,179,Shyampur,Haora,Kalipada Mandal,TMC,All India Trinamool Congress,220747,220747,88.2,31511,Won,19,West Bengal
395,26,Siliguri,Darjiling,Sankar Ghosh,BJP,Bharatiya Janta Party,176576,176576,81.9,35586,Won,19,West Bengal
396,188,Singur,Hugli,Becharam Manna,TMC,All India Trinamool Congress,207593,207593,86,25923,Won,19,West Bengal
397,6,Sitai,Koch Bihar,Jagadish Chandra Barma Basunia,TMC,All India Trinamool Congress,237001,237001,85.5,10112,Won,19,West Bengal
398,5,Sitalkuchi,Koch Bihar,Baren Chandra Barman,BJP,Bharatiya Janta Party,243223,243223,88.2,17815,Won,19,West Bengal
399,258,Sonamukhi,Bankura,Dibakar Gharami,BJP,Bharatiya Janta Party,205663,205663,91.7,10888,Won,19,West Bengal
400,147,Sonarpur Dakshin,South  Twenty Four Parganas,Arundhuti Maitra (LOVELY),TMC,All India Trinamool Congress,230257,230257,85.8,26181,Won,19,West Bengal
401,151,Sonarpur Uttar,South  Twenty Four Parganas,Firdousi Begum,TMC,All India Trinamool Congress,238381,238381,86.8,36090,Won,19,West Bengal
402,186,Sreerampur,Hugli,Dr. Sudipto Roy,TMC,All India Trinamool Congress,185681,185681,77.6,23433,Won,19,West Bengal
403,53,Sujapur,Maldah,Md Abdul Ghani,TMC,All India Trinamool Congress,206064,206064,89.8,130163,Won,19,West Bengal
404,285,Suri,Birbhum,Bikash Roychoudhury,TMC,All India Trinamool Congress,216755,216755,85.8,7320,Won,19,West Bengal
405,57,Suti,Murshidabad,Emani Biswas,TMC,All India Trinamool Congress,213604,213604,87.4,70701,Won,19,West Bengal
406,98,Swarupnagar,North Twenty Four Parganas,Bina Mondal,TMC,All India Trinamool Congress,210548,210548,88.2,34800,Won,19,West Bengal
407,251,Taldangra,Bankura,Arup Chakraborty,TMC,All India Trinamool Congress,199668,199668,88.7,12377,Won,19,West Bengal
408,203,Tamluk,Purba Medinipur,Saumen Kumar Mahapatra,TMC,All India Trinamool Congress,234895,234895,91.9,793,Won,19,West Bengal
409,40,Tapan,Dakshin Dinajpur,Budhrai Tudu,BJP,Bharatiya Janta Party,184606,184606,88.6,1650,Won,19,West Bengal
